date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:27:25	37/37	---M--	200	added ('OK')	text/plain	etag:%226e87d614e46bd01:0%22	http://cnettr.com/robots.txt		(from )
14:27:25	25861/25861	---M--	200	added ('OK')	text/html	date:Mon,%2011%20Jul%202016%2011:29:26%20GMT	http://cnettr.com/	C:/cnet/Cnet/index-2.html	(from )
14:27:26	1825/1825	---M--	200	added ('OK')	text/css	etag:%22cc53fc876d31d01:0%22	http://cnettr.com/Content/normalize.css	C:/cnet/Cnet/Content/normalize.css	(from http://cnettr.com/)
14:27:26	1566/1566	---M--	200	added ('OK')	image/png	etag:%2214205c868e3fd01:0%22	http://cnettr.com/images/fav.png	C:/cnet/Cnet/images/fav.png	(from http://cnettr.com/)
14:27:28	143033/143033	---M--	200	added ('OK')	text/css	etag:%22801aee9f363ad01:0%22	http://cnettr.com/Content/bootstrap.css	C:/cnet/Cnet/Content/bootstrap.css	(from http://cnettr.com/)
14:27:29	26651/26651	---M--	200	added ('OK')	text/css	etag:%2228c1e58a6d31d01:0%22	http://cnettr.com/font-awesome-4.2.0/css/font-awesome.css	C:/cnet/Cnet/font-awesome-4.2.0/css/font-awesome.css	(from http://cnettr.com/)
14:27:29	31595/31595	---M--	200	added ('OK')	text/css	etag:%22bc9677c1667d01:0%22	http://cnettr.com/Content/custom.css	C:/cnet/Cnet/Content/custom.css	(from http://cnettr.com/)
14:27:31	3830/3830	---M--	200	added ('OK')	text/css	etag:%22fd8a2d1cfa33d01:0%22	http://cnettr.com/Content/jquery.bxslider.css	C:/cnet/Cnet/Content/jquery.bxslider.css	(from http://cnettr.com/)
14:27:31	3144/3144	---M--	200	added ('OK')	text/css	etag:%22cf06a886d31d01:0%22	http://cnettr.com/Content/colorbox.css	C:/cnet/Cnet/Content/colorbox.css	(from http://cnettr.com/)
14:27:31	1813/1813	---M--	200	added ('OK')	text/css	etag:%22d4cb1019e637d01:0%22	http://cnettr.com/Content/vote.css	C:/cnet/Cnet/Content/vote.css	(from http://cnettr.com/)
14:27:32	2605/2605	---MC-	200	added ('OK')	text/css	date:Mon,%2011%20Jul%202016%2011:30:37%20GMT	http://fonts.googleapis.com/css?family=Open+Sans:300italic,400italic,600italic,700italic,800italic,700,300,600,800,400&subset=latin,cyrillic-ext,greek,greek-ext,vietnamese,latin-ext,cyrillic	C:/cnet/Cnet/css98a2.css	(from http://cnettr.com/)
14:27:32	23063/23063	---M--	200	added ('OK')	application/x-javascript	date:Thu,%2005%20Nov%202015%2017:34:06%20GMT	http://cnettr.com/WebResource.axd?d=xHJaQKnjHtyHGI-xmC14bN5RswGY119JuvzGzFCQzxJA0vTwdNwEzTiApJ-srVP9YwAJ5nqqAily3ypzBJMuyKFjWWPPZhaBQVaopu012aM1&t=635823524460000000	C:/cnet/Cnet/WebResourcedbee.js	(from http://cnettr.com/)
14:27:32	25690/25690	---M--	200	added ('OK')	text/html	date:Mon,%2011%20Jul%202016%2011:29:33%20GMT	http://cnettr.com/tr-tr/	C:/cnet/Cnet/tr-tr/index.html	(from http://cnettr.com/)
